ID,ID_Nivel,Titulo,Descricao,Tipo_Recurso,URL,Duracao_Estimada_Min,Gratuito,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
REC105,NIV053,The Data Warehouse Toolkit – Kimball (cap. avançados),Recurso recomendado para a competência Modelagem avançada e padrões Kimball.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 54 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC106,NIV053,Coursera – Data Warehousing,Recurso recomendado para a competência Modelagem avançada e padrões Kimball.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 54 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC107,NIV054,Building the Data Warehouse – Inmon,Recurso recomendado para a competência Arquitetura de Data Warehouse.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 55 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC108,NIV054,Alura – Arquitetura de Dados,Recurso recomendado para a competência Arquitetura de Data Warehouse.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 55 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC109,NIV055,Fundamentals of Data Engineering – Reis,Recurso recomendado para a competência Arquitetura Lakehouse e Data Mesh.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 56 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC110,NIV055,Databricks Academy (gratuito),Recurso recomendado para a competência Arquitetura Lakehouse e Data Mesh.,Curso,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 56 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC111,NIV056,DataTalks – Data Engineering Zoomcamp (gratuito),Recurso recomendado para a competência Fundamentos de pipelines de dados.,Curso,,,True,1,True,2026-07-17,2026-07-17,"Origem direta: linha 57 do HEATMAP. A duração de 50h refere-se ao conteúdo completo, não individualmente a este recurso."
REC112,NIV056,dbt Learn (gratuito),Recurso recomendado para a competência Fundamentos de pipelines de dados.,Curso,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 57 do HEATMAP. A duração de 50h refere-se ao conteúdo completo, não individualmente a este recurso."
REC113,NIV057,Designing Data-Intensive Applications – Kleppmann,Recurso recomendado para a competência Engenharia de dados em escala.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 58 do HEATMAP. A duração de 60h refere-se ao conteúdo completo, não individualmente a este recurso."
REC114,NIV057,Coursera – Big Data Specialization,Recurso recomendado para a competência Engenharia de dados em escala.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 58 do HEATMAP. A duração de 60h refere-se ao conteúdo completo, não individualmente a este recurso."
REC115,NIV058,Data Management Body of Knowledge – DAMA DMBOK,Recurso recomendado para a competência Conceitos de governança e qualidade de dados.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 59 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC116,NIV058,Udemy – Data Governance,Recurso recomendado para a competência Conceitos de governança e qualidade de dados.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 59 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC117,NIV059,LGPD Comentada – Cots & Oliveira,Recurso recomendado para a competência LGPD e privacidade de dados.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 60 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC118,NIV059,FGV Online – LGPD,Recurso recomendado para a competência LGPD e privacidade de dados.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 60 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC119,NIV060,ISO 27001 Implementation Guide – IT Governance,Recurso recomendado para a competência ISO 27001 aplicada a dados e BI.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 61 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC120,NIV060,Udemy – ISO 27001 Foundation,Recurso recomendado para a competência ISO 27001 aplicada a dados e BI.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 61 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC121,NIV061,Microsoft Learn – Azure Purview,Recurso recomendado para a competência Data Catalog e Data Lineage.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 62 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC122,NIV061,OpenMetadata Docs,Recurso recomendado para a competência Data Catalog e Data Lineage.,Ferramenta,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 62 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC123,NIV062,Estatística Básica – Bussab & Morettin,Recurso recomendado para a competência Estatística descritiva.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 63 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC124,NIV062,Khan Academy – Statistics (gratuito),Recurso recomendado para a competência Estatística descritiva.,Curso,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 63 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC125,NIV063,Estatística Aplicada – Montgomery,Recurso recomendado para a competência Estatística inferencial e probabilidade.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 64 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC126,NIV063,Coursera – Statistics with Python,Recurso recomendado para a competência Estatística inferencial e probabilidade.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 64 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC127,NIV064,Coursera – Forecasting,Recurso recomendado para a competência Analytics avançado e forecasting.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 65 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC128,NIV064,Forecasting: Principles and Practice – Hyndman (gratuito online),Recurso recomendado para a competência Analytics avançado e forecasting.,Livro,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 65 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
